Index,Date,Price,MAV144,MAV12
5907,21/08/2001,276.3,266.6260417,295.4541667
5908,22/08/2001,275.9,266.6829861,296.1208333
5909,23/08/2001,274.9,266.7395833,296.7583333
5910,24/08/2001,272.8,266.790625,297.2875
5911,27/08/2001,272.8,266.8607639,297.8208333
5912,28/08/2001,271.1,266.915625,297.9083333
5913,29/08/2001,272.9,266.984375,297.6625
5914,30/08/2001,272.3,267.0704861,297.3875
5915,31/08/2001,273,267.153125,297.2625
5916,3/09/2001,273.4,267.240625,297.0958333
5917,4/09/2001,272.3,267.3243056,296.7958333
5918,5/09/2001,271.3,267.4128472,296.2833333
5919,6/09/2001,272.1,267.5142361,295.9
5920,7/09/2001,273.6,267.6125,295.675
5921,10/09/2001,271.5,267.7184028,295.3125
5922,11/09/2001,287,267.9232639,296.325
5923,12/09/2001,279,268.0631944,296.8416667
5924,13/09/2001,280.3,268.2006944,297.4625
5925,14/09/2001,285.8,268.3572917,298.6875
5926,17/09/2001,293.3,268.5305556,300.3875
5927,18/09/2001,289.4,268.6881944,301.8125
5928,19/09/2001,288.1,268.8392361,303.0708333
5929,20/09/2001,288.5,269.015625,304.3333333
5930,21/09/2001,292.5,269.2239583,306.0166667
5931,24/09/2001,288.2,269.4069444,307.425
5932,25/09/2001,288,269.596875,308.7541667
5933,26/09/2001,291.5,269.7899306,310.2416667
5934,27/09/2001,289.8,269.9288194,311.7666667
5935,28/09/2001,293.1,270.071875,312.275
5936,1/10/2001,290.6,270.2197917,313.2416667
5937,2/10/2001,291.7,270.4128472,314.1916667
5938,3/10/2001,290.1,270.6076389,314.5541667
5939,4/10/2001,290.4,270.8135417,314.3125
5940,5/10/2001,291.2,271.0263889,314.4625
5941,8/10/2001,291.9,271.2368056,314.775
5942,9/10/2001,290,271.43125,314.9
5943,10/10/2001,287.2,271.6118056,314.4541667
5944,11/10/2001,281.9,271.74375,313.925
5945,12/10/2001,281.8,271.8798611,313.4083333
5946,15/10/2001,281.9,272.0177083,312.6083333
5947,16/10/2001,281.1,272.1631944,311.8833333
5948,17/10/2001,281.6,272.3121528,310.925
5949,18/10/2001,281,272.4739583,310.125
5950,19/10/2001,279.2,272.6350694,309.0833333
5951,22/10/2001,275.9,272.765625,307.9
5952,23/10/2001,276.1,272.8809028,306.7083333
5953,24/10/2001,275.5,273.0017361,305.4
5954,25/10/2001,276.7,273.1260417,304.1375
5955,26/10/2001,277.3,273.2527778,303.075
5956,29/10/2001,278.6,273.4052083,302.3625
5957,30/10/2001,280.4,273.5628472,302.2416667
5958,31/10/2001,278.8,273.6982639,301.9875
5959,1/11/2001,280.6,273.8465278,301.8833333
5960,2/11/2001,279.9,273.9899306,301.7833333
5961,5/11/2001,278.3,274.1128472,301.5041667
5962,6/11/2001,279,274.2524306,301.3333333
5963,7/11/2001,280.3,274.371875,301.4291667
5964,8/11/2001,280,274.4836806,301.7666667
5965,9/11/2001,277.2,274.5847222,301.8583333
5966,12/11/2001,280,274.7,302.2333333
5967,13/11/2001,276.5,274.7902778,302.2166667
5968,14/11/2001,278.3,274.8927083,302.3
5969,15/11/2001,275.5,274.9680556,302.0375
5970,16/11/2001,274.5,275.046875,301.5458333
5971,19/11/2001,273.6,275.1135417,301.1166667
5972,20/11/2001,273,275.1760417,300.4791667
5973,21/11/2001,272.8,275.2204861,299.8875
5974,22/11/2001,272.8,275.2631944,299.4291667
5975,23/11/2001,273.1,275.3083333,298.9416667
5976,26/11/2001,272.6,275.3597222,298.3
5977,27/11/2001,273.3,275.3975694,297.7458333
5978,28/11/2001,274.4,275.4388889,297.5166667
5979,29/11/2001,274.8,275.4788194,297.0833333
5980,30/11/2001,275.5,275.5284722,297
5981,3/12/2001,276.4,275.5961806,296.8416667
5982,4/12/2001,276.6,275.6357639,296.9375
5983,5/12/2001,275,275.6427083,296.9791667
5984,6/12/2001,274.6,275.6534722,297.0583333
5985,7/12/2001,274.1,275.534375,297.1541667
5986,10/12/2001,272.7,275.4545139,297.1416667
5987,11/12/2001,272.2,275.3784722,297.0958333
5988,12/12/2001,273.5,275.2913194,297.1291667
5989,13/12/2001,274.4,275.278125,297.275
5990,14/12/2001,277.1,275.2836806,297.5875
5991,17/12/2001,277.8,275.2975694,297.8666667
5992,18/12/2001,278.9,275.3520833,298.2041667
5993,19/12/2001,278.7,275.4295139,298.4666667
5994,20/12/2001,276.1,275.5038194,298.4458333
5995,21/12/2001,277.5,275.5802083,298.5208333
5996,24/12/2001,277.5,275.6621528,298.7291667
5997,25/12/2001,277.5,275.7454861,298.975
5998,26/12/2001,277.5,275.8246528,299.2583333
5999,27/12/2001,277.7,275.8989583,299.6791667
6000,28/12/2001,276.5,275.9545139,300.0375
6001,31/12/2001,276.5,276.0003472,300.2875
6002,1/01/2002,276.5,276.0319444,300.4666667
6003,2/01/2002,278.4,276.0732639,300.575
6004,3/01/2002,278.8,276.1190972,300.6625
6005,4/01/2002,277.8,276.1590278,300.5708333
6006,7/01/2002,278.6,276.1951389,300.5666667
6007,8/01/2002,278.6,276.2444444,300.775
6008,9/01/2002,281.1,276.3097222,301.075
6009,10/01/2002,286.9,276.4038194,301.8541667
6010,11/01/2002,285.8,276.4930556,302.5416667
6011,14/01/2002,286.4,276.5788194,303.2791667
6012,15/01/2002,284.2,276.6440972,303.8208333
6013,16/01/2002,284.6,276.7489583,304.4958333
6014,17/01/2002,285,276.8489583,305.2041667
6015,18/01/2002,283.2,276.9520833,305.7625
6016,21/01/2002,282.3,277.0479167,306.0916667
6017,22/01/2002,282.1,277.1482639,306.3625
6018,23/01/2002,280.8,277.2486111,306.6125
6019,24/01/2002,279.2,277.3465278,306.6625
6020,25/01/2002,279,277.4361111,306.6958333
6021,28/01/2002,279.1,277.5170139,306.5291667
