Id,DateTime,Date,Demand
323,7/04/2018 17:30,7/04/2018,6831.95
324,7/04/2018 18:00,7/04/2018,6854.88
325,7/04/2018 18:30,7/04/2018,7026.27
326,7/04/2018 19:00,7/04/2018,7023.78
327,7/04/2018 19:30,7/04/2018,6862.56
328,7/04/2018 20:00,7/04/2018,6765.9
329,7/04/2018 20:30,7/04/2018,6628.14
330,7/04/2018 21:00,7/04/2018,6493.78
331,7/04/2018 21:30,7/04/2018,6367.34
332,7/04/2018 22:00,7/04/2018,6213.3
333,7/04/2018 22:30,7/04/2018,6178.39
334,7/04/2018 23:00,7/04/2018,6159.47
335,7/04/2018 23:30,7/04/2018,6013.8
336,8/04/2018 0:00,8/04/2018,5720.83
337,8/04/2018 0:30,8/04/2018,5513.76
338,8/04/2018 1:00,8/04/2018,5405.03
339,8/04/2018 1:30,8/04/2018,5343.27
340,8/04/2018 2:00,8/04/2018,5244.87
341,8/04/2018 2:30,8/04/2018,5212.92
342,8/04/2018 3:00,8/04/2018,5187.76
343,8/04/2018 3:30,8/04/2018,5189.6
344,8/04/2018 4:00,8/04/2018,5165.42
345,8/04/2018 4:30,8/04/2018,5206.9
346,8/04/2018 5:00,8/04/2018,5193.68
347,8/04/2018 5:30,8/04/2018,5275.46
348,8/04/2018 6:00,8/04/2018,5316.54
349,8/04/2018 6:30,8/04/2018,5350.02
350,8/04/2018 7:00,8/04/2018,5414.21
351,8/04/2018 7:30,8/04/2018,5535.85
352,8/04/2018 8:00,8/04/2018,5558.67
353,8/04/2018 8:30,8/04/2018,5622.47
354,8/04/2018 9:00,8/04/2018,5587.12
355,8/04/2018 9:30,8/04/2018,5565.38
356,8/04/2018 10:00,8/04/2018,5561.65
357,8/04/2018 10:30,8/04/2018,5623.77
358,8/04/2018 11:00,8/04/2018,5622.4
359,8/04/2018 11:30,8/04/2018,5638.26
360,8/04/2018 12:00,8/04/2018,5662.59
361,8/04/2018 12:30,8/04/2018,5673.77
362,8/04/2018 13:00,8/04/2018,5627.93
363,8/04/2018 13:30,8/04/2018,5679.62
364,8/04/2018 14:00,8/04/2018,5792.91
365,8/04/2018 14:30,8/04/2018,5866.42
366,8/04/2018 15:00,8/04/2018,5961.4
367,8/04/2018 15:30,8/04/2018,6135.58
368,8/04/2018 16:00,8/04/2018,6317.66
369,8/04/2018 16:30,8/04/2018,6482.1
370,8/04/2018 17:00,8/04/2018,6689.63
371,8/04/2018 17:30,8/04/2018,6854.94
372,8/04/2018 18:00,8/04/2018,6960.81
373,8/04/2018 18:30,8/04/2018,7172.38
374,8/04/2018 19:00,8/04/2018,7179.75
375,8/04/2018 19:30,8/04/2018,6991.04
376,8/04/2018 20:00,8/04/2018,6873.92
377,8/04/2018 20:30,8/04/2018,6771.09
378,8/04/2018 21:00,8/04/2018,6588.3
379,8/04/2018 21:30,8/04/2018,6427.69
380,8/04/2018 22:00,8/04/2018,6235.33
381,8/04/2018 22:30,8/04/2018,6125.06
382,8/04/2018 23:00,8/04/2018,6119.15
383,8/04/2018 23:30,8/04/2018,5941.59
384,9/04/2018 0:00,9/04/2018,5688.64
385,9/04/2018 0:30,9/04/2018,5517.61
386,9/04/2018 1:00,9/04/2018,5413.37
387,9/04/2018 1:30,9/04/2018,5333.8
388,9/04/2018 2:00,9/04/2018,5278.09
389,9/04/2018 2:30,9/04/2018,5285.43
390,9/04/2018 3:00,9/04/2018,5288.37
391,9/04/2018 3:30,9/04/2018,5280.19
392,9/04/2018 4:00,9/04/2018,5262.94
393,9/04/2018 4:30,9/04/2018,5325.2
394,9/04/2018 5:00,9/04/2018,5399.12
395,9/04/2018 5:30,9/04/2018,5602.92
396,9/04/2018 6:00,9/04/2018,5748.08
397,9/04/2018 6:30,9/04/2018,6031.84
398,9/04/2018 7:00,9/04/2018,6243.85
399,9/04/2018 7:30,9/04/2018,6478.01
400,9/04/2018 8:00,9/04/2018,6528.57
401,9/04/2018 8:30,9/04/2018,6504.13
402,9/04/2018 9:00,9/04/2018,6475.61
403,9/04/2018 9:30,9/04/2018,6466.51
404,9/04/2018 10:00,9/04/2018,6399.07
405,9/04/2018 10:30,9/04/2018,6444.58
406,9/04/2018 11:00,9/04/2018,6441.41
407,9/04/2018 11:30,9/04/2018,6428.87
408,9/04/2018 12:00,9/04/2018,6425.93
409,9/04/2018 12:30,9/04/2018,6441.43
410,9/04/2018 13:00,9/04/2018,6523.6
411,9/04/2018 13:30,9/04/2018,6577.73
412,9/04/2018 14:00,9/04/2018,6713.91
413,9/04/2018 14:30,9/04/2018,6837.1
414,9/04/2018 15:00,9/04/2018,6917.91
415,9/04/2018 15:30,9/04/2018,7072.23
416,9/04/2018 16:00,9/04/2018,7249.38
417,9/04/2018 16:30,9/04/2018,7381
418,9/04/2018 17:00,9/04/2018,7575.76
419,9/04/2018 17:30,9/04/2018,7573.44
420,9/04/2018 18:00,9/04/2018,7626.44
421,9/04/2018 18:30,9/04/2018,7757.52
422,9/04/2018 19:00,9/04/2018,7775.86
423,9/04/2018 19:30,9/04/2018,7516.91
424,9/04/2018 20:00,9/04/2018,7348.17
425,9/04/2018 20:30,9/04/2018,7170.88
426,9/04/2018 21:00,9/04/2018,6965.58
427,9/04/2018 21:30,9/04/2018,6829.48
428,9/04/2018 22:00,9/04/2018,6645.64
429,9/04/2018 22:30,9/04/2018,6535.65
430,9/04/2018 23:00,9/04/2018,6419.52
431,9/04/2018 23:30,9/04/2018,6228.5
432,10/04/2018 0:00,10/04/2018,5919.84
433,10/04/2018 0:30,10/04/2018,5703.7
434,10/04/2018 1:00,10/04/2018,5595.03
435,10/04/2018 1:30,10/04/2018,5512.99
436,10/04/2018 2:00,10/04/2018,5442.79
437,10/04/2018 2:30,10/04/2018,5405.4
438,10/04/2018 3:00,10/04/2018,5403.52
439,10/04/2018 3:30,10/04/2018,5323.89
440,10/04/2018 4:00,10/04/2018,5325.97
441,10/04/2018 4:30,10/04/2018,5400.86
442,10/04/2018 5:00,10/04/2018,5454.66
443,10/04/2018 5:30,10/04/2018,5622.85
444,10/04/2018 6:00,10/04/2018,5837.14
445,10/04/2018 6:30,10/04/2018,6068.9
446,10/04/2018 7:00,10/04/2018,6242.98
447,10/04/2018 7:30,10/04/2018,6447.21
448,10/04/2018 8:00,10/04/2018,6432.89
449,10/04/2018 8:30,10/04/2018,6349.01
450,10/04/2018 9:00,10/04/2018,6354.94
451,10/04/2018 9:30,10/04/2018,6289.2
452,10/04/2018 10:00,10/04/2018,6219.13
453,10/04/2018 10:30,10/04/2018,6241.58
454,10/04/2018 11:00,10/04/2018,6233.43
455,10/04/2018 11:30,10/04/2018,6289.35
456,10/04/2018 12:00,10/04/2018,6336.21
457,10/04/2018 12:30,10/04/2018,6390.87
458,10/04/2018 13:00,10/04/2018,6496.36
459,10/04/2018 13:30,10/04/2018,6589.85
460,10/04/2018 14:00,10/04/2018,6699.54
461,10/04/2018 14:30,10/04/2018,6883.56
462,10/04/2018 15:00,10/04/2018,6972.76
463,10/04/2018 15:30,10/04/2018,7102.23
464,10/04/2018 16:00,10/04/2018,7213.43
465,10/04/2018 16:30,10/04/2018,7338.98
466,10/04/2018 17:00,10/04/2018,7506.15
467,10/04/2018 17:30,10/04/2018,7526.26
468,10/04/2018 18:00,10/04/2018,7530.57
469,10/04/2018 18:30,10/04/2018,7659.93
470,10/04/2018 19:00,10/04/2018,7691.51
471,10/04/2018 19:30,10/04/2018,7485.6
472,10/04/2018 20:00,10/04/2018,7334.73
473,10/04/2018 20:30,10/04/2018,7171.85
474,10/04/2018 21:00,10/04/2018,6955.38
475,10/04/2018 21:30,10/04/2018,6798.21
476,10/04/2018 22:00,10/04/2018,6590.24
477,10/04/2018 22:30,10/04/2018,6497.69
478,10/04/2018 23:00,10/04/2018,6416.93
479,10/04/2018 23:30,10/04/2018,6231.9
480,11/04/2018 0:00,11/04/2018,5909.66
481,11/04/2018 0:30,11/04/2018,5735.57
482,11/04/2018 1:00,11/04/2018,5631.36
483,11/04/2018 1:30,11/04/2018,5530.34
484,11/04/2018 2:00,11/04/2018,5432.51
485,11/04/2018 2:30,11/04/2018,5443.6
486,11/04/2018 3:00,11/04/2018,5359.22
487,11/04/2018 3:30,11/04/2018,5346.83
488,11/04/2018 4:00,11/04/2018,5338.85
489,11/04/2018 4:30,11/04/2018,5382.2
490,11/04/2018 5:00,11/04/2018,5464.72
491,11/04/2018 5:30,11/04/2018,5645.58
492,11/04/2018 6:00,11/04/2018,5856.82
493,11/04/2018 6:30,11/04/2018,6093.87
494,11/04/2018 7:00,11/04/2018,6342.69
495,11/04/2018 7:30,11/04/2018,6540.9
