DateTime,Demand,Price
19/03/2000 5:30,3506.41667,19.63
19/03/2000 8:30,4245.90833,18
19/03/2000 11:30,4536.85333,20.81
19/03/2000 14:30,4393.945,20.08
19/03/2000 17:30,4605.63,20.76
19/03/2000 20:30,4834.46,28.69
19/03/2000 23:30,4632.225,33.75
20/03/2000 2:30,3684.725,18
20/03/2000 5:30,3867.33333,18
20/03/2000 8:30,5490.665,31.75
20/03/2000 11:30,5724.94,57.05054
20/03/2000 14:30,5712.04,85.47
20/03/2000 17:30,5567.7,37.23
20/03/2000 20:30,5204.55167,24.22
20/03/2000 23:30,4943.61,46.15
21/03/2000 2:30,3868.495,18.42
21/03/2000 5:30,4032.53667,20.67
21/03/2000 8:30,5556.98833,99.22
21/03/2000 11:30,5633.17667,57.01021
21/03/2000 14:30,5589.15833,78.81
21/03/2000 17:30,5645.46833,57.13472
21/03/2000 20:30,5263.31667,25
21/03/2000 23:30,4974.41,33.7
22/03/2000 2:30,3850.255,18
22/03/2000 5:30,4002.1,18
22/03/2000 8:30,5501.68,69.14
22/03/2000 11:30,5563.97167,56.97202
22/03/2000 14:30,5460.095,57.11309
22/03/2000 17:30,5561.17333,73.72
22/03/2000 20:30,5228.105,69.3
22/03/2000 23:30,4961.05333,38.44
23/03/2000 2:30,3804.115,19.28
23/03/2000 5:30,3997.38833,20.78
23/03/2000 8:30,5570.49667,57.26797
23/03/2000 11:30,5659.805,57.57192
23/03/2000 14:30,5740.955,57.86238
23/03/2000 17:30,5606.15667,58.165
23/03/2000 20:30,5439.74667,54.01
23/03/2000 23:30,5046.42167,58.49067
24/03/2000 2:30,3941.435,20.79
24/03/2000 5:30,4073.585,19.79
24/03/2000 8:30,5595.24333,58.46537
24/03/2000 11:30,5707.28833,58.75844
24/03/2000 14:30,5689.00333,59.17682
24/03/2000 17:30,5532.695,46.32
24/03/2000 20:30,5136.64833,25.86
24/03/2000 23:30,4957.38833,35.06
25/03/2000 2:30,3760.61,18
25/03/2000 5:30,3743.61,18
25/03/2000 8:30,4780.50833,23.61
25/03/2000 11:30,4945.86333,53.52
25/03/2000 14:30,4824.275,28.81
25/03/2000 17:30,4794.425,28.5
25/03/2000 20:30,4804.905,27.08
25/03/2000 23:30,4692.22667,40.21
26/03/2000 2:30,3550.93833,19.42
26/03/2000 5:30,3576.56167,22.72
26/03/2000 8:30,4305.95667,18.42
26/03/2000 11:30,4618.69,20.93
26/03/2000 14:30,4553.37667,20.79
26/03/2000 17:30,4749.04333,22.03
26/03/2000 20:30,4942.50667,56.44
26/03/2000 23:30,4642.545,32.05
27/03/2000 2:30,3700.83667,18.42
27/03/2000 5:30,3922.57333,20.41
27/03/2000 8:30,5478.39667,58.80412
27/03/2000 11:30,5611.69333,58.93413
27/03/2000 14:30,5764.05667,59.45682
27/03/2000 17:30,5747.66833,59.71104
27/03/2000 20:30,5364.24167,82.45
27/03/2000 23:30,5035.84167,38.77
28/03/2000 2:30,3901.99833,20.83
